Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,364.79998779296875,366.7900085449219,344.0,349.9200134277344,339.1704406738281,14448300
2023-01-18,348.32000732421875,354.7900085449219,347.79998779296875,349.0899963378906,338.3659362792969,5585200
2023-01-19,346.0299987792969,352.1600036621094,345.5199890136719,350.75,339.9749450683594,3100400
2023-01-20,349.8699951171875,352.25,338.2099914550781,341.8399963378906,331.338623046875,11247200
2023-01-23,341.6700134277344,349.55999755859375,336.1600036621094,349.1400146484375,338.41436767578125,4915700
2023-01-24,340.0,350.29998779296875,340.0,348.3299865722656,337.6292419433594,2372000
2023-01-25,344.75,349.9599914550781,343.8999938964844,349.6300048828125,338.8893127441406,1985200
2023-01-26,351.7300109863281,355.0,349.5199890136719,354.9700012207031,344.0652770996094,1919200
2023-01-27,351.95001220703125,355.989990234375,351.8299865722656,353.70001220703125,342.83428955078125,2427400
2023-01-30,353.2900085449219,362.3299865722656,352.3999938964844,357.4599914550781,346.4787902832031,3184500
2023-01-31,359.1600036621094,365.9200134277344,356.8599853515625,365.80999755859375,354.5722351074219,2311500
2023-02-01,359.1000061035156,368.94000244140625,358.760009765625,365.7099914550781,354.475341796875,2889400
2023-02-02,368.0,372.8900146484375,364.54998779296875,369.4700012207031,358.1198425292969,2619600
2023-02-03,365.6199951171875,374.57000732421875,365.44000244140625,369.95001220703125,358.5850830078125,2243100
2023-02-06,369.0,371.260009765625,365.7799987792969,370.79998779296875,359.40899658203125,1816200
2023-02-07,368.1700134277344,376.30999755859375,367.3399963378906,374.3999938964844,362.89837646484375,2205500
2023-02-08,372.9200134277344,378.3500061035156,371.9800109863281,375.1000061035156,363.576904296875,1893200
2023-02-09,377.0400085449219,379.67999267578125,367.79998779296875,367.989990234375,356.685302734375,2052500
2023-02-10,367.0,372.2300109863281,364.55999755859375,371.2799987792969,359.8742370605469,1933400
2023-02-13,369.0899963378906,375.05999755859375,368.0,374.0199890136719,362.530029296875,1570600
2023-02-14,373.94000244140625,377.04998779296875,369.3800048828125,371.7799987792969,360.3588562011719,2155500
2023-02-15,368.739990234375,374.3699951171875,368.25,374.3399963378906,362.8402099609375,1687200
2023-02-16,370.75,374.25,368.79998779296875,370.20001220703125,358.8274230957031,1947800
2023-02-17,368.04998779296875,371.05999755859375,366.8599853515625,368.5,357.17962646484375,1857300
2023-02-21,366.7200012207031,366.7200012207031,360.0899963378906,361.1199951171875,350.0263671875,2403000
2023-02-22,361.6300048828125,363.0,358.0400085449219,360.8900146484375,349.80340576171875,2203800
2023-02-23,363.20001220703125,367.8800048828125,359.6099853515625,363.5400085449219,352.3720397949219,1931400
2023-02-24,360.1700134277344,365.17999267578125,359.5299987792969,363.8500061035156,352.6725158691406,2428600
2023-02-27,368.2200012207031,370.29998779296875,364.510009765625,365.5299987792969,354.3008728027344,2842400
2023-02-28,366.0,366.010009765625,351.3299865722656,351.6499938964844,340.8472595214844,4945600
2023-03-01,349.3900146484375,352.5400085449219,345.9599914550781,346.2300109863281,337.9967041015625,2717400
2023-03-02,343.989990234375,349.7799987792969,340.489990234375,349.1000061035156,340.7984619140625,3259800
2023-03-03,350.6400146484375,357.7699890136719,349.55999755859375,357.0899963378906,348.5984802246094,2396200
2023-03-06,358.05999755859375,358.8599853515625,353.7300109863281,357.04998779296875,348.55938720703125,1614200
2023-03-07,355.54998779296875,356.20001220703125,345.6300048828125,346.0799865722656,337.8502502441406,2048500
2023-03-08,346.19000244140625,349.69000244140625,345.1700134277344,349.2900085449219,340.98394775390625,1584600
2023-03-09,349.20001220703125,354.2900085449219,341.04998779296875,342.0899963378906,333.9551696777344,3177800
2023-03-10,338.8699951171875,339.92999267578125,326.0299987792969,327.6700134277344,319.8780517578125,4559700
2023-03-13,319.6700134277344,326.1099853515625,314.5400085449219,315.510009765625,308.0072326660156,5660700
2023-03-14,324.7699890136719,326.3800048828125,318.95001220703125,322.1499938964844,314.4892883300781,3785900
2023-03-15,310.7699890136719,312.510009765625,304.4100036621094,312.19000244140625,304.7661437988281,6596700
2023-03-16,309.0,318.32000732421875,304.9200134277344,315.0899963378906,307.59722900390625,4399100
2023-03-17,310.0899963378906,310.3999938964844,301.8699951171875,303.5400085449219,296.3218688964844,6369800
2023-03-20,306.7799987792969,312.20001220703125,306.260009765625,309.5299987792969,302.16943359375,3963700
2023-03-21,317.6199951171875,320.32000732421875,315.3500061035156,317.2799987792969,309.735107421875,3242400
2023-03-22,317.2799987792969,322.2200012207031,313.489990234375,313.6700134277344,306.2109680175781,2505900
2023-03-23,315.2099914550781,321.3599853515625,312.6400146484375,314.8500061035156,307.3629455566406,2585900
2023-03-24,310.1499938964844,312.75,305.3599853515625,312.57000732421875,305.13714599609375,2456700
2023-03-27,318.6199951171875,320.8999938964844,317.1700134277344,318.5299987792969,310.95538330078125,2300600
2023-03-28,319.0899963378906,320.6099853515625,316.1199951171875,318.44000244140625,310.8675231933594,1224300
2023-03-29,322.5,322.7099914550781,318.67999267578125,320.7200012207031,313.09332275390625,1475900
2023-03-30,324.55999755859375,324.8699951171875,319.8800048828125,321.1400146484375,313.50335693359375,1456300
2023-03-31,323.4700012207031,327.3299865722656,322.4200134277344,327.1099853515625,319.33135986328125,2281100
2023-04-03,326.1400146484375,328.9800109863281,323.1499938964844,326.5199890136719,318.7554016113281,1808800
2023-04-04,326.82000732421875,326.8699951171875,320.1199951171875,322.6499938964844,314.9774169921875,1536800
2023-04-05,319.6199951171875,322.20001220703125,319.3699951171875,321.5299987792969,313.8840637207031,1329300
2023-04-06,320.3800048828125,323.2300109863281,319.9800109863281,322.3999938964844,314.7333984375,1311000
2023-04-10,322.3999938964844,324.989990234375,321.30999755859375,324.9599914550781,317.23248291015625,1114400
2023-04-11,326.04998779296875,329.20001220703125,323.6700134277344,327.3699951171875,319.5851745605469,1559600
2023-04-12,331.7200012207031,332.07000732421875,327.17999267578125,330.239990234375,322.3869323730469,1862400
2023-04-13,330.0799865722656,332.94000244140625,327.0,332.1300048828125,324.23199462890625,1765500
2023-04-14,336.5299987792969,339.6300048828125,334.32000732421875,336.9200134277344,328.9081115722656,2275700
2023-04-17,336.0,340.45001220703125,333.67999267578125,339.67999267578125,331.60247802734375,3012100
2023-04-18,328.0,336.54998779296875,326.1300048828125,333.9100036621094,325.9696960449219,7549500
2023-04-19,332.9800109863281,336.989990234375,331.6700134277344,336.8900146484375,328.87884521484375,2625400
2023-04-20,334.95001220703125,339.30999755859375,334.32000732421875,338.7099914550781,330.655517578125,2217900
2023-04-21,339.0,342.3599853515625,336.0,341.6600036621094,333.53533935546875,2278900
2023-04-24,341.989990234375,345.05999755859375,341.5299987792969,343.9599914550781,335.78070068359375,1966300
2023-04-25,341.0,343.4700012207031,338.3299865722656,339.4800109863281,331.4072265625,2138200
2023-04-26,337.5799865722656,340.6000061035156,334.6400146484375,336.55999755859375,328.5566711425781,2041900
2023-04-27,340.1400146484375,343.3599853515625,338.760009765625,341.6000061035156,333.4767761230469,1768200
2023-04-28,340.04998779296875,344.1000061035156,339.70001220703125,343.44000244140625,335.2730407714844,1712500
2023-05-01,344.04998779296875,347.4599914550781,340.3699951171875,340.57000732421875,332.4712829589844,1375000
2023-05-02,339.010009765625,339.8900146484375,330.0,333.3699951171875,325.4425354003906,2397600
2023-05-03,332.3599853515625,334.8299865722656,328.25,328.6499938964844,320.83477783203125,1825400
2023-05-04,325.95001220703125,326.9800109863281,318.55999755859375,321.260009765625,313.6205139160156,2965100
2023-05-05,325.05999755859375,327.8699951171875,322.4200134277344,327.0199890136719,319.2434997558594,2412900
2023-05-08,329.6400146484375,330.29998779296875,325.6700134277344,326.510009765625,318.7456359863281,1607300
2023-05-09,325.0400085449219,327.17999267578125,323.29998779296875,324.7699890136719,317.0470275878906,1253300
2023-05-10,329.9200134277344,329.9200134277344,319.0799865722656,322.54998779296875,314.87982177734375,1752200
2023-05-11,319.6600036621094,321.94000244140625,318.17999267578125,320.7200012207031,313.09332275390625,1515200
2023-05-12,322.0400085449219,323.2200012207031,317.32000732421875,319.5,311.90234375,1098800
2023-05-15,320.4200134277344,323.25,318.05999755859375,322.07000732421875,314.4112548828125,1178200
2023-05-16,322.5,323.07000732421875,320.5,320.80999755859375,313.1811828613281,1618900
2023-05-17,322.6600036621094,330.3900146484375,322.6600036621094,330.17999267578125,322.328369140625,2098100
2023-05-18,330.0,330.6000061035156,325.6600036621094,329.5799865722656,321.74261474609375,1645400
2023-05-19,330.0,331.95001220703125,324.7900085449219,326.1499938964844,318.3941955566406,1545600
2023-05-22,326.1499938964844,327.3399963378906,322.42999267578125,324.9200134277344,317.1934814453125,1498900
2023-05-23,323.6000061035156,327.1400146484375,322.80999755859375,323.57000732421875,315.87554931640625,1550900
2023-05-24,320.3900146484375,321.8999938964844,318.79998779296875,319.80999755859375,312.2049865722656,1439100
2023-05-25,318.9200134277344,325.17999267578125,318.79998779296875,323.8800048828125,316.1781921386719,1618500
2023-05-26,324.7200012207031,332.8699951171875,324.0,332.010009765625,324.1148681640625,2718700
2023-05-30,332.0799865722656,332.5299987792969,327.7300109863281,330.8299865722656,322.962890625,1998600
2023-05-31,326.07000732421875,327.25,321.82000732421875,323.8999938964844,318.6053161621094,2938000
2023-06-01,324.510009765625,324.67999267578125,314.0199890136719,316.3999938964844,311.2279357910156,3339700
2023-06-02,318.239990234375,325.2699890136719,317.04998779296875,323.6499938964844,318.3594055175781,3987700
2023-06-05,322.92999267578125,323.489990234375,320.32000732421875,321.80999755859375,316.54949951171875,1462900
2023-06-06,322.42999267578125,328.07000732421875,321.3999938964844,326.79998779296875,321.4578857421875,1495600
